date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype,lot
2024-04-04,_call_0,NIFTY,normal_sell,45781,10:50,NFO,,50,2245000.0,26.95,26.95,0,complete,0400054ANKN1226,5000.0,2024-04-04,0400054ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45780,10:50,NFO,,50,2240000.0,49.6,49.6,0,complete,0400055ANKN1226,5000.0,2024-04-04,0400055ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45781,10:50,NFO,,50,2245000.0,81.55,76.55,0,trigger pending,0400056ANKN1226,5000.0,2024-04-04,0400056ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45780,10:50,NFO,,50,2240000.0,81.55,76.55,0,complete,0400057ANKN1226,5000.0,2024-04-04,0400057ANKN1226,,INTRADAY,1.0
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:51,NFO,NIFTY04APR2422550PE,50,2255000.0,204.9,204.9,1,complete,0400058ANKN1226,5000.0,2024-04-04,0400058ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,215.35,215.35,1,complete,0400059ANKN1226,5000.0,2024-04-04,0400059ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,94.52,89.52,1,rejected,0400060ANKN1226,5000.0,2024-04-04,0400060ANKN1226,Not a multiple of tick size.,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,253.6,253.6,1,complete,0400061ANKN1226,5000.0,2024-04-04,0400061ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,92.9,87.9,1,trigger pending,0400062ANKN1226,5000.0,2024-04-04,0400062ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,259.2,259.2,1,complete,0400063ANKN1226,5000.0,2024-04-04,0400063ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,10:52,NFO,NIFTY04APR2422550PE,50,2255000.0,89.09,84.09,1,rejected,0400064ANKN1226,5000.0,2024-04-04,0400064ANKN1226,Not a multiple of tick size.,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:53,NFO,NIFTY04APR2422550PE,50,2255000.0,265.45,265.45,1,complete,0400066ANKN1226,5000.0,2024-04-04,0400066ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,10:53,NFO,NIFTY04APR2422550PE,50,2255000.0,90.8,85.8,1,trigger pending,0400067ANKN1226,5000.0,2024-04-04,0400067ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,10:53,NFO,NIFTY04APR2422550PE,50,2255000.0,264.45,264.45,1,trigger pending,0400068ANKN1226,5000.0,2024-04-04,0400068ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,11:04,NFO,NIFTY04APR2422550PE,50,2255000.0,225.2,225.2,1,complete,0400071ANKN1226,5000.0,2024-04-04,0400071ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,11:04,NFO,NIFTY04APR2422550PE,50,2255000.0,329.2,324.2,1,trigger pending,0400072ANKN1226,5000.0,2024-04-04,0400072ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422500PE_put_1,NIFTY,normal_sell,45798,11:04,NFO,NIFTY04APR2422500PE,50,2250000.0,174.55,174.55,1,complete,0400073ANKN1226,5000.0,2024-04-04,0400073ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422500PE_sl_put_1,NIFTY,stoploss_buy,45798,11:04,NFO,NIFTY04APR2422500PE,50,2250000.0,275.35,270.35,1,trigger pending,0400074ANKN1226,5000.0,2024-04-04,0400074ANKN1226,,INTRADAY,
2024-04-04,_call_0,NIFTY,normal_sell,45771,11:05,NFO,,50,2240000.0,27.95,27.95,0,complete,0400075ANKN1226,5000.0,2024-04-04,0400075ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45767,11:05,NFO,,50,2235000.0,63.85,63.85,0,complete,0400076ANKN1226,5000.0,2024-04-04,0400076ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45771,11:05,NFO,,50,2240000.0,96.8,91.8,0,trigger pending,0400077ANKN1226,5000.0,2024-04-04,0400077ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45767,11:05,NFO,,50,2235000.0,96.8,91.8,0,trigger pending,0400078ANKN1226,5000.0,2024-04-04,0400078ANKN1226,,INTRADAY,1.0
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,11:06,NFO,NIFTY04APR2422550PE,50,2255000.0,236.4,236.4,1,complete,0400079ANKN1226,5000.0,2024-04-04,0400079ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,11:06,NFO,NIFTY04APR2422550PE,50,2255000.0,320.4,315.4,1,trigger pending,0400080ANKN1226,5000.0,2024-04-04,0400080ANKN1226,,INTRADAY,
2024-04-04,_call_0,NIFTY,normal_sell,45771,11:10,NFO,,50,2240000.0,30.95,30.95,0,complete,0400085ANKN1226,5000.0,2024-04-04,0400085ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45767,11:10,NFO,,50,2235000.0,57.4,57.4,0,complete,0400086ANKN1226,5000.0,2024-04-04,0400086ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45771,11:10,NFO,,50,2240000.0,93.35,88.35,0,trigger pending,0400087ANKN1226,5000.0,2024-04-04,0400087ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45767,11:10,NFO,,50,2235000.0,93.35,88.35,0,trigger pending,0400088ANKN1226,5000.0,2024-04-04,0400088ANKN1226,,INTRADAY,1.0
2024-04-04,_call_0,NIFTY,normal_sell,45781,11:15,NFO,,50,2245000.0,33.6,33.6,0,complete,0400089ANKN1226,5000.0,2024-04-04,0400089ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45780,11:15,NFO,,50,2240000.0,53.25,53.25,0,complete,0400090ANKN1226,5000.0,2024-04-04,0400090ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45781,11:15,NFO,,50,2245000.0,91.85,86.85,0,trigger pending,0400091ANKN1226,5000.0,2024-04-04,0400091ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45780,11:15,NFO,,50,2240000.0,91.85,86.85,0,complete,0400092ANKN1226,5000.0,2024-04-04,0400092ANKN1226,,INTRADAY,1.0
2024-04-04,_call_0,NIFTY,normal_sell,45781,11:20,NFO,,50,2245000.0,31.5,31.5,0,trigger pending,0400093ANKN1226,5000.0,2024-04-04,0400093ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45780,11:20,NFO,,50,2240000.0,45.2,45.2,0,complete,0400094ANKN1226,5000.0,2024-04-04,0400094ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45781,11:20,NFO,,50,2245000.0,81.7,76.7,0,trigger pending,0400095ANKN1226,5000.0,2024-04-04,0400095ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45780,11:20,NFO,,50,2240000.0,81.7,76.7,0,complete,0400096ANKN1226,5000.0,2024-04-04,0400096ANKN1226,,INTRADAY,1.0
2024-04-04,_call_0,NIFTY,normal_sell,45781,11:25,NFO,,50,2245000.0,26.15,26.15,0,complete,0400097ANKN1226,5000.0,2024-04-04,0400097ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45780,11:25,NFO,,50,2240000.0,52.85,52.85,0,complete,0400098ANKN1226,5000.0,2024-04-04,0400098ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45781,11:25,NFO,,50,2245000.0,84.0,79.0,0,trigger pending,0400099ANKN1226,5000.0,2024-04-04,0400099ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45780,11:25,NFO,,50,2240000.0,84.0,79.0,0,complete,0400100ANKN1226,5000.0,2024-04-04,0400100ANKN1226,,INTRADAY,1.0
2024-04-04,_call_0,NIFTY,normal_sell,45781,11:30,NFO,,50,2245000.0,27.15,27.15,0,complete,0400101ANKN1226,5000.0,2024-04-04,0400101ANKN1226,,INTRADAY,1.0
2024-04-04,_put_0,NIFTY,normal_sell,45780,11:30,NFO,,50,2240000.0,46.55,46.55,0,complete,0400102ANKN1226,5000.0,2024-04-04,0400102ANKN1226,,INTRADAY,1.0
2024-04-04,_call_SL_0,NIFTY,stoploss_buy,45781,11:30,NFO,,50,2245000.0,78.7,73.7,0,trigger pending,0400103ANKN1226,5000.0,2024-04-04,0400103ANKN1226,,INTRADAY,1.0
2024-04-04,_put_SL_0,NIFTY,stoploss_buy,45780,11:30,NFO,,50,2240000.0,78.7,73.7,0,trigger pending,0400104ANKN1226,5000.0,2024-04-04,0400104ANKN1226,,INTRADAY,1.0
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,204.75,204.75,1,complete,0400105ANKN1226,5000.0,2024-04-04,0400105ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,296.6,291.6,1,trigger pending,0400106ANKN1226,5000.0,2024-04-04,0400106ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,226.05,226.05,1,complete,0400107ANKN1226,5000.0,2024-04-04,0400107ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,307.75,302.75,1,trigger pending,0400108ANKN1226,5000.0,2024-04-04,0400108ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_put_1,NIFTY,normal_sell,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,215.0,215.0,1,complete,0400109ANKN1226,5000.0,2024-04-04,0400109ANKN1226,,INTRADAY,
2024-04-04,NIFTY04APR2422550PE_sl_put_1,NIFTY,stoploss_buy,45806,11:33,NFO,NIFTY04APR2422550PE,50,2255000.0,299.0,294.0,1,trigger pending,0400110ANKN1226,5000.0,2024-04-04,0400110ANKN1226,,INTRADAY,
