date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,12:15,NFO,,50,2245000.0,118.6,113.6,0,trigger pending,0300152ANKN1226,5000,2024-04-04,0300152ANKN1226,,INTRADAY
2024-04-03,NIFTY04APR2422550CE_call_1,NIFTY,normal_sell,45799,12:34,NFO,NIFTY04APR2422550CE,50,2255000.0,40.65,40.65,1,complete,0300153ANKN1226,5000,2024-04-04,0300153ANKN1226,,INTRADAY
2024-04-03,NIFTY04APR2422550CE_sl_call_1,NIFTY,stoploss_buy,45799,12:34,NFO,NIFTY04APR2422550CE,50,2255000.0,131.35,126.35,1,trigger pending,0300154ANKN1226,5000,2024-04-04,0300154ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,12:35,NFO,,50,2250000.0,60.55,60.55,0,complete,0300155ANKN1226,5000,2024-04-04,0300155ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,12:35,NFO,,50,2245000.0,51.0,51.0,0,complete,0300156ANKN1226,5000,2024-04-04,0300156ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,12:35,NFO,,50,2250000.0,116.55,111.55,0,trigger pending,0300157ANKN1226,5000,2024-04-04,0300157ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,12:35,NFO,,50,2245000.0,116.55,111.55,0,trigger pending,0300158ANKN1226,5000,2024-04-04,0300158ANKN1226,,INTRADAY
2024-04-03,NIFTY04APR2422550CE_call_1,NIFTY,normal_sell,45799,12:36,NFO,NIFTY04APR2422550CE,50,2255000.0,39.3,39.3,1,complete,0300159ANKN1226,5000,2024-04-04,0300159ANKN1226,,INTRADAY
2024-04-03,NIFTY04APR2422550CE_sl_call_1,NIFTY,stoploss_buy,45799,12:36,NFO,NIFTY04APR2422550CE,50,2255000.0,130.09,125.09,1,rejected,0300160ANKN1226,5000,2024-04-04,0300160ANKN1226,Not a multiple of tick size.,INTRADAY
2024-04-03,NIFTY04APR2422550CE_call_1,NIFTY,normal_sell,45799,12:36,NFO,NIFTY04APR2422550CE,50,2255000.0,38.95,38.95,1,complete,0300161ANKN1226,5000,2024-04-04,0300161ANKN1226,,INTRADAY
2024-04-03,NIFTY04APR2422550CE_sl_call_1,NIFTY,stoploss_buy,45799,12:36,NFO,NIFTY04APR2422550CE,50,2255000.0,128.28,123.28,1,rejected,0300162ANKN1226,5000,2024-04-04,0300162ANKN1226,Not a multiple of tick size.,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,12:40,NFO,,50,2250000.0,59.95,59.95,0,complete,0300163ANKN1226,5000,2024-04-04,0300163ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,12:40,NFO,,50,2245000.0,50.75,50.75,0,complete,0300164ANKN1226,5000,2024-04-04,0300164ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,12:40,NFO,,50,2250000.0,115.7,110.7,0,trigger pending,0300165ANKN1226,5000,2024-04-04,0300165ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,12:40,NFO,,50,2245000.0,115.7,110.7,0,trigger pending,0300166ANKN1226,5000,2024-04-04,0300166ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45799,12:45,NFO,,50,2255000.0,48.6,48.6,0,complete,0300167ANKN1226,5000,2024-04-04,0300167ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45798,12:45,NFO,,50,2250000.0,66.5,66.5,0,complete,0300168ANKN1226,5000,2024-04-04,0300168ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45799,12:45,NFO,,50,2255000.0,120.1,115.1,0,trigger pending,0300169ANKN1226,5000,2024-04-04,0300169ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45798,12:45,NFO,,50,2250000.0,120.1,115.1,0,trigger pending,0300170ANKN1226,5000,2024-04-04,0300170ANKN1226,,INTRADAY
